ts,avail_mb,used_mb,swap_free_mb,load1,qemu_rss_mb,hermes_rss_mb
23:38:04,2024,5827,1935,0.65,3087,397
23:38:14,5229,2621,2375,0.55,0,277
23:38:24,4691,3159,2375,1.15,0,397
23:38:34,4421,3429,2375,1.67,0,397
23:38:44,5230,2621,2375,1.70,0,277
23:38:54,5124,2727,2375,1.44,0,399
23:39:04,5127,2723,2375,1.37,0,399
23:39:14,5140,2711,2375,1.16,0,399
23:39:24,5252,2598,2375,1.06,0,279
23:39:34,5132,2718,2375,0.89,0,399
23:39:44,5229,2621,2375,0.76,0,280
23:39:55,5135,2715,2375,0.64,0,402
23:40:05,5166,2684,2375,0.70,0,349
23:40:15,5099,2751,2375,0.99,0,403
23:40:25,5111,2739,2375,0.99,0,404
23:40:35,4810,3040,2375,1.53,0,289
23:40:45,4346,3505,2375,1.99,0,409
23:40:55,4212,3638,2375,2.55,0,409
23:41:05,4922,2928,2375,2.30,332,289
23:41:15,4536,3314,2375,2.02,643,409
23:41:25,2970,4883,2375,3.20,2278,359
23:41:35,1884,5967,2375,3.41,3311,409
23:41:45,1675,6175,2366,4.55,3516,409
23:41:55,1602,6248,2365,4.78,3565,386
23:42:05,1607,6243,2365,4.34,3567,409
23:42:16,1600,6250,2365,3.97,3567,409
23:42:26,1353,6498,2364,3.75,3567,289
23:42:36,1092,6758,2344,3.56,3544,408
23:42:46,1136,6715,2282,3.64,3488,273
23:42:56,1698,6152,2283,3.87,3492,396
23:43:06,1792,6060,2283,3.50,3492,279
23:43:16,1442,6408,2269,3.28,3479,399
23:43:26,1204,6646,2262,3.30,3476,399
23:43:36,1096,6754,2202,3.10,3418,399
23:43:46,1638,6213,2203,3.66,3582,400
23:43:56,1633,6218,2200,3.26,3580,404
23:44:06,1634,6216,2200,2.83,3580,408
23:44:16,1704,6147,2201,2.55,3580,289
23:44:26,1248,6602,2197,2.48,3577,494
23:44:36,1101,6750,2086,2.64,3495,540
23:44:47,983,6868,1981,2.77,3347,675
23:44:57,1682,6168,2027,2.90,3410,555
23:45:07,1589,6261,2029,3.82,3410,675
23:45:17,1531,6320,2029,6.16,3411,674
23:45:27,1508,6343,2155,7.67,3411,675
23:45:37,1457,6394,2155,6.65,3412,675
23:45:47,1583,6267,2154,5.93,3413,555
23:45:57,1497,6354,2154,5.02,3415,679
23:46:07,1474,6377,2150,5.52,3421,678
23:46:17,1576,6274,2150,5.62,3421,559
23:46:27,1491,6359,2149,5.58,3421,683
23:46:37,1353,6497,2150,6.06,3421,683
23:46:47,1576,6274,2149,6.97,3422,610
23:46:58,1414,6436,2149,7.73,3422,686
23:47:08,1183,6667,2148,8.66,3421,648
23:47:18,997,6854,2137,10.68,3414,686
23:47:28,928,6923,2128,10.02,3414,687
23:47:38,855,6995,2089,10.60,3244,673
23:47:48,850,7001,2065,12.47,3235,635
23:47:58,831,7019,2014,13.37,3201,660
23:48:08,805,7045,2007,13.62,3195,639
23:48:18,697,7154,1911,12.99,3144,645
23:48:28,1876,5974,1927,12.46,3174,624
23:48:39,1808,6043,1937,11.25,3196,645
23:48:49,1785,6065,1937,11.31,3196,645
23:48:59,1808,6043,1937,11.07,3196,645
23:49:09,1914,5936,1938,10.26,3196,525
23:49:19,1798,6052,1938,8.91,3196,645
23:49:29,1917,5933,1939,7.62,3196,526
23:49:39,1796,6055,1939,7.72,3196,646
23:49:49,1812,6039,1939,8.86,3196,592
23:49:59,1477,6373,1939,10.75,3196,648
23:50:09,1305,6545,1939,11.18,3196,645
23:50:19,1770,6081,1939,12.51,3196,646
23:50:29,1683,6167,1940,13.65,3196,646
23:50:40,1464,6386,1940,14.24,3196,646
23:50:50,1912,5939,1940,13.65,3196,533
23:51:00,1556,6294,1937,13.36,3196,652
23:51:10,1377,6474,1937,13.23,3196,533
23:51:20,1806,6045,1937,13.35,3196,652
23:51:30,1638,6212,1938,14.44,3196,534
23:51:40,1307,6543,1938,15.18,3196,654
23:51:50,1162,6687,1907,14.87,3182,527
23:52:00,1951,5899,1813,15.26,3119,612
23:52:10,2004,5846,1815,13.63,3132,492
23:52:21,1901,5949,1817,11.54,3132,612
23:52:31,1957,5894,1811,9.92,3129,609
23:52:41,2042,5808,1812,8.96,3129,490
23:52:51,1964,5886,1812,7.73,3129,610
23:53:01,1978,5873,1799,6.77,3124,604
23:53:11,1744,6106,1801,5.89,3125,487
23:53:21,1968,5883,1793,5.68,3122,599
23:53:31,1968,5882,1792,5.98,3125,597
23:53:41,2082,5769,1783,6.17,3131,471
23:53:51,1639,6211,1783,5.30,3131,596
23:54:01,1918,5932,1784,5.36,3132,619
23:54:11,1923,5928,1780,4.53,3129,619
23:54:21,1916,5934,1780,5.61,3129,618
23:54:31,2026,5825,1767,4.90,3115,499
23:54:41,1952,5899,1767,4.23,3115,617
23:54:52,2061,5789,1768,3.58,3115,500
23:55:02,1639,6211,1772,3.19,3120,620
23:55:12,2007,5843,1777,3.46,3121,569
23:55:22,1931,5920,1765,4.49,3145,620
23:55:32,1915,5935,1765,3.80,3145,620
23:55:42,1897,5953,1762,3.99,3141,621
23:55:52,1916,5935,1762,3.45,3142,621
